series_id,year,value
PRS30006011,2022,16.4
PRS30006012,2022,13.0
PRS30006013,1998,564.713
PRS30006021,2010,14.2
PRS30006022,2010,8.9
PRS30006023,2014,402.512
PRS30006031,2022,16.4
PRS30006032,2021,13.9
PRS30006033,1998,561.703
PRS30006061,2022,29.599999999999998
PRS30006062,2021,25.7
PRS30006063,2024,517.4010000000001
PRS30006091,2002,34.6
PRS30006092,2002,35.699999999999996
PRS30006093,2013,411.367
PRS30006101,2020,26.7
PRS30006102,2020,29.4
PRS30006103,2024,516.052
PRS30006111,2020,27.5
PRS30006112,2008,39.3
PRS30006113,2024,523.37
PRS30006151,2020,21.1
PRS30006152,2020,25.699999999999996
PRS30006153,2020,423.76599999999996
PRS30006161,2010,40.5
PRS30006162,2002,39.3
PRS30006163,2014,412.743
PRS30006211,2010,28.0
PRS30006212,1997,31.8
PRS30006213,2007,419.06
PRS31006011,2022,16.2
PRS31006012,2022,16.0
PRS31006013,1998,566.274
PRS31006021,2010,15.5
PRS31006022,2010,10.399999999999999
PRS31006023,2014,402.783
PRS31006031,2022,19.0
PRS31006032,2011,18.3
PRS31006033,1998,563.982
PRS31006061,2022,28.400000000000002
PRS31006062,2023,26.2
PRS31006063,2024,519.341
PRS31006091,2010,34.3
PRS31006092,2002,41.4
PRS31006093,2014,405.86699999999996
PRS31006101,2000,27.7
PRS31006102,2020,33.900000000000006
PRS31006103,2024,519.659
PRS31006111,2009,30.1
PRS31006112,2008,54.8
PRS31006113,2024,539.206
PRS31006151,2020,22.0
PRS31006152,2020,30.3
PRS31006153,2020,423.648
PRS31006161,2010,51.300000000000004
PRS31006162,2002,46.1
PRS31006163,2014,408.69
PRS31006211,1997,38.1
PRS31006212,1997,46.0
PRS31006213,2007,418.69100000000003
PRS32006011,2022,16.9
PRS32006012,2021,12.3
PRS32006013,1995,580.925
PRS32006021,2010,11.6
PRS32006022,2010,6.3
PRS32006023,2012,402.534
PRS32006031,2021,14.7
PRS32006032,2021,14.1
PRS32006033,1995,568.466
PRS32006061,2022,32.5
PRS32006062,2021,26.4
PRS32006063,2024,513.6410000000001
PRS32006091,2002,28.0
PRS32006092,2004,27.4
PRS32006093,2014,411.104
PRS32006101,2020,27.2
PRS32006102,2003,28.6
PRS32006103,2024,509.478
PRS32006111,2020,28.4
PRS32006112,2008,30.1
PRS32006113,2024,511.247
PRS32006151,2020,21.5
PRS32006152,2020,20.6
PRS32006153,2020,425.155
PRS32006161,2002,28.8
PRS32006162,2004,25.4
PRS32006163,2013,413.409
PRS32006211,2021,18.4
PRS32006212,2021,19.299999999999997
PRS32006213,2007,413.61199999999997
PRS84006011,2022,18.3
PRS84006012,2021,21.2
PRS84006013,2024,430.301
PRS84006021,2010,4.9
PRS84006022,2010,5.9
PRS84006023,1997,414.584
PRS84006031,2021,22.2
PRS84006032,2021,22.3
PRS84006033,2024,420.85400000000004
PRS84006041,2021,31.2
PRS84006042,2021,27.4
PRS84006043,2024,484.21000000000004
PRS84006051,2021,53.2
PRS84006052,2021,57.7
PRS84006053,2024,600.696
PRS84006061,2021,43.599999999999994
PRS84006062,2021,43.1
PRS84006063,2024,583.525
PRS84006081,2021,66.5
PRS84006082,2021,79.0
PRS84006083,2024,622.819
PRS84006091,2020,20.5
PRS84006092,2009,26.4
PRS84006093,2024,460.20799999999997
PRS84006101,2020,32.2
PRS84006102,2020,39.5
PRS84006103,2024,554.6030000000001
PRS84006111,2022,20.9
PRS84006112,2012,22.299999999999997
PRS84006113,2024,482.04200000000003
PRS84006131,2022,46.4
PRS84006132,2021,48.1
PRS84006133,2024,514.456
PRS84006141,2022,32.0
PRS84006142,2021,28.5
PRS84006143,2024,496.206
PRS84006151,2020,26.5
PRS84006152,2020,35.2
PRS84006153,2021,440.21
PRS84006161,2010,17.5
PRS84006162,2009,22.2
PRS84006163,2024,450.10699999999997
PRS84006171,2020,9.8
PRS84006172,2020,15.8
PRS84006173,2001,447.756
PRS85006011,2022,18.6
PRS85006012,2021,22.0
PRS85006013,2024,431.21500000000003
PRS85006021,2010,4.9
PRS85006022,2010,6.0
PRS85006023,1997,415.044
PRS85006031,2021,22.700000000000003
PRS85006032,2021,23.5
PRS85006033,2024,421.932
PRS85006041,2021,31.099999999999998
PRS85006042,2021,27.299999999999997
PRS85006043,2024,484.427
PRS85006051,2021,51.8
PRS85006052,2021,56.9
PRS85006053,2024,600.947
PRS85006061,2021,43.7
